year,avg_temp
1856,26.92
1857,24.97
1858,25.93
1859,25.66
1860,25.77
1861,25.82
1862,26.81
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,
1871,
1872,
1873,25.87
1874,25.98
1875,25.60
1876,25.98
1877,26.15
1878,26.10
1879,25.51
1880,25.91
1881,26.19
1882,25.82
1883,26.21
1884,26.23
1885,26.15
1886,25.63
1887,24.93
1888,25.28
1889,25.11
1890,24.63
1891,25.11
1892,25.34
1893,25.46
1894,25.46
1895,25.74
1896,25.69
1897,26.15
1898,25.63
1899,26.04
1900,26.19
1901,26.25
1902,25.89
1903,25.52
1904,25.23
1905,25.81
1906,26.02
1907,25.66
1908,25.88
1909,25.87
1910,26.13
1911,25.44
1912,25.55
1913,26.36
1914,26.61
1915,26.56
1916,26.25
1917,26.67
1918,26.16
1919,26.67
1920,26.38
1921,26.57
1922,26.44
1923,26.50
1924,26.70
1925,26.46
1926,26.85
1927,26.75
1928,26.63
1929,26.13
1930,26.69
1931,26.80
1932,26.35
1933,26.64
1934,26.62
1935,26.70
1936,26.51
1937,26.80
1938,26.68
1939,26.06
1940,26.66
1941,27.18
1942,26.83
1943,26.39
1944,26.83
1945,26.89
1946,26.50
1947,26.77
1948,26.36
1949,26.73
1950,26.42
1951,26.63
1952,26.46
1953,26.48
1954,26.14
1955,26.20
1956,26.14
1957,26.41
1958,26.50
1959,26.51
1960,26.43
1961,26.26
1962,26.31
1963,26.76
1964,26.28
1965,26.34
1966,26.52
1967,26.18
1968,26.47
1969,26.69
1970,26.70
1971,26.39
1972,26.55
1973,26.95
1974,26.14
1975,26.00
1976,26.24
1977,26.84
1978,26.50
1979,26.75
1980,26.62
1981,26.59
1982,26.47
1983,26.83
1984,26.70
1985,26.58
1986,26.45
1987,27.33
1988,26.74
1989,26.35
1990,26.88
1991,26.61
1992,26.49
1993,26.70
1994,26.60
1995,26.85
1996,26.77
1997,26.73
1998,27.36
1999,26.85
2000,26.75
2001,26.76
2002,26.98
2003,27.15
2004,27.11
2005,27.27
2006,27.38
2007,27.29
2008,27.07
2009,27.35
2010,27.56
2011,27.13
2012,27.00
2013,27.17
