year,avg_temp
1849,25.98
1850,25.87
1851,26.10
1852,
1853,
1854,
1855,
1856,26.35
1857,25.45
1858,25.92
1859,26.18
1860,26.01
1861,25.95
1862,25.90
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,
1871,
1872,
1873,26.46
1874,26.08
1875,25.82
1876,25.82
1877,26.35
1878,26.26
1879,25.67
1880,26.14
1881,26.39
1882,26.01
1883,26.42
1884,26.43
1885,26.01
1886,25.87
1887,25.09
1888,25.42
1889,25.34
1890,24.86
1891,25.29
1892,25.49
1893,25.67
1894,25.59
1895,25.92
1896,25.87
1897,26.29
1898,25.79
1899,26.31
1900,26.42
1901,26.53
1902,26.09
1903,25.68
1904,25.48
1905,26.16
1906,26.21
1907,25.96
1908,26.15
1909,26.08
1910,26.13
1911,25.72
1912,26.17
1913,26.65
1914,26.75
1915,26.81
1916,26.60
1917,26.96
1918,26.41
1919,26.70
1920,26.72
1921,26.77
1922,26.73
1923,26.63
1924,26.95
1925,26.64
1926,26.97
1927,26.88
1928,26.75
1929,26.48
1930,26.84
1931,26.85
1932,26.46
1933,26.93
1934,26.89
1935,26.90
1936,26.66
1937,26.96
1938,26.82
1939,26.39
1940,26.81
1941,27.36
1942,26.95
1943,26.53
1944,27.07
1945,27.07
1946,26.72
1947,26.98
1948,26.61
1949,26.98
1950,26.57
1951,26.89
1952,26.66
1953,26.66
1954,26.28
1955,26.42
1956,26.31
1957,26.65
1958,26.68
1959,26.72
1960,26.68
1961,26.46
1962,26.55
1963,27.01
1964,26.48
1965,26.53
1966,26.84
1967,26.43
1968,26.67
1969,26.89
1970,26.92
1971,26.56
1972,26.91
1973,27.20
1974,26.44
1975,26.27
1976,26.37
1977,27.01
1978,26.73
1979,26.99
1980,26.85
1981,26.79
1982,26.66
1983,26.99
1984,26.98
1985,26.74
1986,26.65
1987,27.51
1988,27.04
1989,26.71
1990,27.06
1991,26.88
1992,26.73
1993,26.90
1994,26.84
1995,27.07
1996,26.92
1997,26.91
1998,27.53
1999,27.03
2000,27.02
2001,26.92
2002,27.13
2003,27.37
2004,27.32
2005,27.39
2006,27.53
2007,27.46
2008,27.30
2009,27.53
2010,27.79
2011,27.35
2012,27.15
2013,27.36
